Date,Team,Acquired,Relinquished,Notes
2011-01-05,Bucks,,Brandon Jennings,Foot
2011-01-05,Bucks,,Drew Gooden,Foot
2011-01-05,Jazz,,Paul Millsap,Hip
2011-01-06,Cavaliers,,Daniel Gibson,Ankle
2011-01-06,Suns,,Gani Lawal,Knee
2011-01-07,Bucks,,Brandon Jennings,Foot
2011-01-07,Bucks,,Drew Gooden,Foot
2011-01-07,Cavaliers,,Anderson Varejao,Ankle
2011-01-07,Cavaliers,,Anthony Parker,Lower Back
2011-01-07,Raptors,,Jerryd Bayless,Ankle
2011-01-07,Rockets,,Yao Ming,Ankle
2011-01-07,Raptors,,Sonny Weems,Back
2011-01-08,Bucks,,Andrew Bogut,Ankle
2011-01-08,Bucks,,Brandon Jennings,Foot
2011-01-08,Bucks,,Drew Gooden,Foot
2011-01-08,Lakers,,Matt Barnes,Knee
2011-01-08,Nets,,Devin Harris,Quadriceps
2011-01-09,Cavaliers,,Anthony Parker,Lower back
2011-01-09,Nuggets,,Ty Lawson,Knee
2011-01-09,Raptors,,Sonny Weems,Back
2011-01-10,Rockets,,Brad Miller,Knee
2011-01-11,Cavaliers,,Anderson Varejao,Ankle
2011-01-11,Cavaliers,,Anthony Parker,Lower Back
2011-01-11,Lakers,,Matt Barnes,Knee
2011-01-12,Bucks,,Brandon Jennings,Foot
2011-01-12,Celtics,,Jermaine O'Neal,Knee
2011-01-12,Grizzlies,,Tony Allen,Knee
2011-01-12,Nets,,Anthony Morrow,Hamstring
2011-01-12,Rockets,,Brad Miller,Knee
2011-01-12,Warriors,,Reggie Williams,Ankle
2011-01-13,Heat,,LeBron James,Ankle
2011-01-13,Wizards,,Andray Blatche,Shoulder
2011-01-14,Bucks,,Brandon Jennings,Foot
2011-01-14,Cavaliers,,Christian Eyenga,Ankle
2011-01-14,Cavaliers,,Daniel Gibson,Ankle
2011-01-14,Celtics,,Jermaine O'Neal,Knee
2011-01-14,Celtics,,Kevin Garnett,Leg
2011-01-14,Knicks,,Ronny Turiaf,Hip
2011-01-14,Raptors,,Leandro Barbosa,Hamstring
2011-01-14,Spurs,,Matt Bonner,Knee
2011-01-14,Warriors,,Brandan Wright,Back
2011-01-14,Cavaliers,,Joey Graham,Quadriceps
2011-01-15,Cavaliers,,Christian Eyenga,Ankle
