Date,Team,Acquired,Relinquished,Notes
2014-01-28,Pistons,,Charlie Villanueva,Stomach
2014-01-28,Rockets,,Francisco Garcia,Knee
2014-01-28,Rockets,,Greg Smith ,Knee
2014-01-28,Rockets,,James Harden,Thumb
2014-01-28,Rockets,,Ronnie Brewer,Calf
2014-01-28,Timberwolves,,Nikola Pekovic,Ankle
2014-01-29,76ers,,Brandon Davies,Pinky finger
2014-01-29,Bobcats,,Ben Gordon,Ankle
2014-01-29,Bobcats,,Kemba Walker,Ankle
2014-01-29,Bucks,,Ekpe Udoh,Ankle
2014-01-29,Bucks,,O.J. Mayo,Ankle
2014-01-29,Celtics,,Rajon Rondo,Knee
2014-01-29,Clippers,,Antawn Jamison,Ankle
2014-01-29,Grizzlies,,Tony Allen,Hand
2014-01-29,Magic,,Ronnie Price,Foot
2014-01-29,Nuggets,,Ty Lawson,Rotator cuff
2014-01-29,Pelicans,,Anthony Davis,Finger
2014-01-29,Pelicans,,Jason Smith,Knee
2014-01-29,Pelicans,,Jrue Holiday,Ankle
2014-01-29,Raptors,,Patrick Patterson,Nose
2014-01-29,Rockets,,Francisco Garcia,Knee
2014-01-29,Rockets,,Greg Smith ,Knee
2014-01-29,Rockets,,James Harden,Thumb
2014-01-30,Knicks,,Beno Udrih,Ankle
2014-01-30,Knicks,,Iman Shumpert,Shoulder
2014-01-30,Knicks,,Kenyon Martin,Ankle
2014-01-31,76ers,,Brandon Davies,Pinky Finger
2014-01-31,Bobcats,,Kemba Walker,Ankle
2014-01-31,Bucks,,Ekpe Udoh,Ankle
2014-01-31,Bucks,,John Henson,Wrist
2014-01-31,Bucks,,O.J. Mayo,Ankle
2014-01-31,Grizzlies,,Tony Allen,Hand
2014-01-31,Jazz,,John Lucas III,Back
2014-01-31,Lakers,,Jordan Farmar,Hamstring
2014-01-31,Lakers,,Steve Blake,Elbow
2014-01-31,Lakers,,Xavier Henry,Knee
2014-01-31,Nets,,Andrei Kirilenko,Calf
2014-01-31,Nuggets,,Ty Lawson,Rotator cuff
2014-01-31,Warriors,,David Lee,Shoulder
2014-01-31,Nuggets,,Nate Robinson,Knee
2014-01-31,Nuggets,,Nate Robinson,Knee
2014-02-01,76ers,,Brandon Davies,Pinky Finger
2014-02-01,76ers,,Michael Carter-Williams,Shoulder
2014-02-01,Bobcats,,Kemba Walker,Ankle
2014-02-01,Bucks,,Ekpe Udoh,Ankle
2014-02-01,Bucks,,O.J. Mayo,Ankle
2014-02-01,Grizzlies,,Tony Allen,Hand
2014-02-01,Jazz,,John Lucas III,Back
2014-02-01,Lakers,,Pau Gasol,Groin
2014-02-01,Nets,,Andray Blatche,Hip
2014-02-01,Nets,,Andrei Kirilenko,Calf
2014-02-01,Pelicans,,Jason Smith,Knee
2014-02-01,Pelicans,,Jrue Holiday,Ankle
2014-02-01,Rockets,,Francisco Garcia,Knee
2014-02-01,Rockets,,Greg Smith ,Knee
2014-02-01,Cavaliers,,Anderson Varejao,Knee
2014-02-01,Kings,,DeMarcus Cousins,Ankle
2014-02-02,Magic,,Jameer Nelson,Knee
2014-02-03,Bucks,,Ekpe Udoh,Ankle
2014-02-03,Bucks,,O.J. Mayo,Ankle
2014-02-03,Grizzlies,,Tony Allen,Hand
2014-02-03,Jazz,,John Lucas III,Back
2014-02-03,Magic,,Jameer Nelson,Knee
2014-02-03,Nets,,Andray Blatche,Hip
2014-02-03,Nets,,Andrei Kirilenko,Calf
2014-02-03,Nets,,Joe Johnson,Knee
2014-02-03,Nuggets,,Nate Robinson,Knee
2014-02-03,Pelicans,,Jason Smith,Knee
2014-02-03,Pelicans,,Jrue Holiday,Ankle
2014-02-03,Pistons,,Chauncey Billups,Knee
2014-02-03,Pistons,,Josh Harrellson,Knee
2014-02-03,Hawks,,John Jenkins,Back
2014-02-03,Hawks,,John Jenkins,Back
2014-02-04,Lakers,,Jordan Farmar,Hamstring
2014-02-04,Lakers,,Pau Gasol,Groin
2014-02-05,76ers,,Brandon Davies,Pinky Finger
2014-02-05,Bucks,,Ekpe Udoh,Ankle
2014-02-05,Bucks,,O.J. Mayo,Ankle
2014-02-05,Grizzlies,,Tony Allen,Hand
2014-02-05,Lakers,,Jodie Meeks,Ankle
2014-02-05,Lakers,,Jordan Hill,Neck
2014-02-05,Lakers,,Pau Gasol,Groin
2014-02-05,Lakers,,Steve Nash,Ankle
2014-02-05,Nuggets,,Nate Robinson,Knee
2014-02-05,Pelicans,,Jason Smith,Knee
2014-02-05,Pelicans,,Tyreke Evans,Ribs
2014-02-05,Pistons,,Chauncey Billups,Knee
2014-02-05,Rockets,,Francisco Garcia,Knee
2014-02-05,Rockets,,Greg Smith ,Knee
2014-02-05,Timberwolves,,Kevin Love,Neck
2014-02-06,Bulls,,Carlos Boozer,Calf
2014-02-06,Lakers,,Nick Young,Patella
2014-02-06,Warriors,,Nemanja Nedovic,Hamstring
2014-02-07,76ers,,Brandon Davies,Pinky finger
2014-02-07,Cavaliers,,Luol Deng,Ankle
2014-02-07,Celtics,,Avery Bradley,Ankle
2014-02-07,Celtics,,Rajon Rondo,Knee
2014-02-07,Clippers,,Hedo Turkoglu,Knee
2014-02-07,Lakers,,Jodie Meeks,Ankle
2014-02-07,Lakers,,Jordan Farmar,Hamstring
2014-02-07,Lakers,,Nick Young,Knee cap
2014-02-07,Lakers,,Pau Gasol,Groin
2014-02-07,Nuggets,,Nate Robinson,Knee
2014-02-07,Pacers,,Lance Stephenson,Lower back
2014-02-07,Pelicans,,Jason Smith,Knee
2014-02-08,Bucks,,Ekpe Udoh,Ankle
2014-02-08,Bucks,,Ersan Ilyasova,Back
2014-02-08,Bucks,,Luke Ridnour,Back
2014-02-08,Grizzlies,,Tony Allen,Hand
2014-02-08,Nuggets,,Nate Robinson,Knee
2014-02-08,Rockets,,Francisco Garcia,Knee
2014-02-08,Rockets,,Greg Smith ,Knee
2014-02-08,Spurs,,Marco Belinelli,Back
2014-02-08,Spurs,,Tiago Splitter,Calf
2014-02-08,Timberwolves,,Kevin Love,Quadriceps
2014-02-08,Warriors,,Nemanja Nedovic,Hamstring
2014-02-09,Bulls,,Carlos Boozer,Calf
2014-02-09,Grizzlies,,Tony Allen,Hand
2014-02-09,Lakers,,Jodie Meeks,Ankle
2014-02-09,Lakers,,Jordan Farmar,Hamstring
2014-02-09,Lakers,,Nick Young,Patella
2014-02-09,Lakers,,Pau Gasol,Groin
2014-02-09,Nuggets,,Ty Lawson,Rib
2014-02-09,Pelicans,,Jason Smith,Knee
2014-02-10,76ers,,Hollis Thompson,Ankle
2014-02-10,Bucks,,Ersan Ilyasova,Back
2014-02-10,Bucks,,Larry Sanders ,Orbital
2014-02-10,Bucks,,O.J. Mayo,Ankle
2014-02-10,Celtics,,Avery Bradley,Ankle
2014-02-10,Celtics,,Rajon Rondo,Knee
2014-02-10,Nuggets,,Nate Robinson,Knee
2014-02-10,Nuggets,,Ty Lawson,Rib
2014-02-10,Pelicans,,Jason Smith,Knee
2014-02-10,Spurs,,Tiago Splitter,Calf/Shin
2014-02-10,Warriors,,Nemanja Nedovic,"Foot
Hamstring"
2014-02-11,Bucks,,John Henson,Foot
2014-02-11,Bulls,,Carlos Boozer,Calf
2014-02-11,Cavaliers,,Anderson Varejao,Back
2014-02-11,Cavaliers,,C.J. Miles,Foot
2014-02-11,Grizzlies,,Tony Allen,Hand
2014-02-11,Lakers,,Jodie Meeks,Ankle
2014-02-11,Lakers,,Jordan Farmar,Hamstring
2014-02-11,Lakers,,Nick Young,Patella
2014-02-11,Lakers,,Pau Gasol,Groin
2014-02-12,76ers,,Hollis Thompson,Ankle
2014-02-12,Bucks,,Ekpe Udoh,Knee
2014-02-12,Bucks,,Larry Sanders ,Orbital
2014-02-12,Bucks,,O.J. Mayo,Ankle
2014-02-12,Celtics,,Avery Bradley,Ankle
2014-02-12,Grizzlies,,Tony Allen,Hand
2014-02-12,Hawks,,DeMarre Carroll,Hamstring
2014-02-12,Knicks,,J.R. Smith,Cheekbone
2014-02-12,Mavericks,,Devin Harris,"ankle
knee"
2014-02-12,Nuggets,,Nate Robinson,Knee
2014-02-12,Nuggets,,Ty Lawson,Rib
2014-02-12,Pelicans,,Jason Smith,Knee
2014-02-12,Rockets,,Patrick Beverley,Abdomen
2014-02-12,Spurs,, Tony Parker,Ankle
2014-02-12,Spurs,,Tiago Splitter,Calf/Shin
2014-02-12,Warriors,,Nemanja Nedovic,Hamstring
2014-02-13,Lakers,,Jodie Meeks,Ankle
2014-02-13,Lakers,,Steve Nash,Back
2014-02-15,Bucks,,Larry Sanders ,Orbital bone
2014-02-18,76ers,,Hollis Thompson,Ankle
2014-02-18,Bucks,,Ekpe Udoh,Knee
2014-02-18,Grizzlies,,Tony Allen,Hand
2014-02-18,Hawks,,DeMarre Carroll,Hamstring
2014-02-18,Nuggets,,Nate Robinson,Knee
2014-02-18,Nuggets,,Ty Lawson,Rib
2014-02-18,Spurs,,Tiago Splitter,Calf/Shin
2014-02-18,Cavaliers,,Anderson Varejao,Back
2014-02-19,Blazers,,LaMarcus Aldridge,Groin
2014-02-19,Cavaliers,,Dion Waiters,Knee
2014-02-19,Hawks,,Gustavo Ayon,"Ankle
Shoulder"
2014-02-19,Knicks,,Amar'e Stoudemire,Knee
2014-02-19,Lakers,,Nick Young,Knee
2014-02-19,Lakers,,Pau Gasol,Groin
2014-02-19,Lakers,,Steve Nash,Root
2014-02-19,Pistons,,Chauncey Billups,Knee
2014-02-19,Rockets,,Ronnie Brewer,Ankle
2014-02-19,Spurs,,Aron Baynes,Knee
2014-02-19,Spurs,,Tim Duncan,Ankle
2014-02-19,Warriors,,Nemanja Nedovic,Hamstring
2014-02-20,Bucks,,Brandon Knight,Heel
2014-02-20,Bucks,,Ekpe Udoh,Knee
2014-02-20,Nuggets,,JaVale McGee,Tibia
2014-02-20,Nuggets,,Nate Robinson,Knee
2014-02-20,Nuggets,,Ty Lawson,Rib
2014-02-20,Rockets,,Ronnie Brewer,Ankle
2014-02-20,Timberwolves,,Ronny Turiaf,Knee
2014-02-20,Warriors,,Nemanja Nedovic,Hamstring
2014-02-21,Blazers,,LaMarcus Aldridge,Groin
2014-02-21,Cavaliers,,Anderson Varejao,Back
2014-02-21,Cavaliers,,C.J. Miles,Ankle
2014-02-21,Cavaliers,,Dion Waiters,Knee
2014-02-21,Celtics,,Vitor Faverani,Knee
2014-02-21,Hawks,,Gustavo Ayon,Shoulder
2014-02-21,Hawks,,Jeff Teague,Ankle
2014-02-21,Lakers,,Nick Young,Patella
2014-02-21,Lakers,,Steve Nash,Root
2014-02-21,Nuggets,,Nate Robinson,Knee
2014-02-21,Nuggets,,Ty Lawson,Rib
2014-02-21,Suns,,Leandro Barbosa,Toe
2014-02-21,Thunder,,Kendrick Perkins,Groin
2014-02-22,Bucks,,Caron Butler,Ankle
2014-02-22,Bucks,,Ekpe Udoh,Knee
2014-02-22,Celtics,,Jared Sullinger,Head
2014-02-22,Celtics,,Rajon Rondo,Ankle
2014-02-22,Celtics,,Vitor Faverani,Knee
2014-02-22,Hawks,,Gustavo Ayon,Shoulder
2014-02-22,Hawks,,Paul Millsap,Knee
2014-02-22,Magic,,Arron Afflalo,Ankle
2014-02-22,Pelicans,,Jason Smith,Knee
2014-02-22,Timberwolves,,Ronny Turiaf,Knee
2014-02-22,Warriors,,David Lee,Stomach
2014-02-22,Warriors,,Nemanja Nedovic,Hamstring
2014-02-23,Blazers,,LaMarcus Aldridge,Groin
2014-02-23,Bulls,,Jimmy Butler,Ribs
2014-02-23,Cavaliers,,C.J. Miles,Ankle
2014-02-23,Cavaliers,,Dion Waiters,Knee
2014-02-23,Heat,,LeBron James,Nose
2014-02-23,Lakers,,Steve Nash,Root
2014-02-23,Magic,,Arron Afflalo,Ankle
2014-02-23,Nets,,Kevin Garnett,Ankle
2014-02-23,Nets,,Shaun Livingston,Tailbone
2014-02-23,Nuggets,,Darrell Arthur,Groin
2014-02-23,Nuggets,,Nate Robinson,Knee
2014-02-23,Nuggets,,Ty Lawson,Rib
2014-02-23,Suns,,Leandro Barbosa,Toe
2014-02-23,Timberwolves,,Ronny Turiaf,Knee
2014-02-24,76ers,,Danny Granger,Ankle
2014-02-24,76ers,,Lorenzo Brown,Wrist
2014-02-24,Bucks,,Caron Butler,Ankle
2014-02-24,Bucks,,Ekpe Udoh,Knee
2014-02-24,Celtics,,Jared Sullinger,Head
2014-02-24,Celtics,,Vitor Faverani,Knee
2014-02-24,Pelicans,,Jason Smith,Knee
2014-02-24,Warriors,,Nemanja Nedovic,Hamstring
2014-02-24,Wizards,,Nene Hilario ,Knee
2014-02-25,Blazers,,LaMarcus Aldridge,Groin
2014-02-25,Bulls,,Jimmy Butler,Ribs
2014-02-25,Cavaliers,,C.J. Miles,Ankle
2014-02-25,Cavaliers,,Dion Waiters,Knee
2014-02-25,Hawks,,Gustavo Ayon,Shoulder
2014-02-25,Hawks,,Paul Millsap,Knee
2014-02-25,Lakers,,Nick Young,Patella
2014-02-25,Nuggets,,Darrell Arthur,Groin
2014-02-25,Nuggets,,Nate Robinson,Knee
2014-02-25,Nuggets,,Ty Lawson,Rib
2014-02-25,Rockets,,Greg Smith ,Knee
2014-02-25,Suns,,Leandro Barbosa,Toe
2014-02-25,Suns,,Viacheslav Kravstov ,Ankle
2014-02-25,Timberwolves,,Ronny Turiaf,Knee
2014-02-25,Wizards,,Kevin Seraphin,Knee
2014-02-26,76ers,,Lorenzo Brown,Wrist
2014-02-26,Blazers,,LaMarcus Aldridge,Groin
2014-02-26,Blazers,,Thomas Robinson,Knee
2014-02-26,Cavaliers,,C.J. Miles,Ankle
2014-02-26,Cavaliers,,Dion Waiters,Knee
2014-02-26,Celtics,,Jared Sullinger,Head
2014-02-26,Celtics,,Kelly Olynyk,Toe
2014-02-26,Celtics,,Vitor Faverani,Knee
2014-02-26,Hawks,,Gustavo Ayon,Shoulder
2014-02-26,Hawks,,Paul Millsap,Knee
2014-02-26,Lakers,,Chris Kaman,Back
2014-02-26,Lakers,,Nick Young,Patella
2014-02-26,Lakers,,Steve Nash,Root
2014-02-26,Pelicans,,Jason Smith,Knee
2014-02-26,Rockets,,Greg Smith ,Knee
2014-02-26,Suns,,Goran Dragic,Ankle
2014-02-26,Suns,,Leandro Barbosa,Toe
2014-02-26,Suns,,Viacheslav Kravstov ,Ankle
2014-02-26,Warriors,,Nemanja Nedovic,Hamstring
2014-02-27,Bucks,,Ekpe Udoh,Knee
2014-02-27,Nuggets,,Darrell Arthur,Groin
2014-02-27,Nuggets,,Nate Robinson,Knee
2014-02-27,Nuggets,,Ty Lawson,Rib
2014-02-27,Nuggets,,Wilson Chandler,Knee
2014-02-27,Wizards,,Kevin Seraphin,Knee
2014-02-28,Cavaliers,,Anthony Bennett,"Ankle
Knee"
2014-02-28,Cavaliers,,Dion Waiters,Knee
2014-02-28,Celtics,,Gerald Wallace,Knee
2014-02-28,Clippers,,Jamal Crawford,Calf
2014-02-28,Hawks,,Gustavo Ayon,Shoulder
2014-02-28,Knicks,,Amar'e Stoudemire,Knee
2014-02-28,Lakers,,Nick Young,Knee
2014-02-28,Lakers,,Steve Nash,Root
2014-02-28,Pelicans,,Jason Smith,Knee
2014-02-28,Pelicans,,Jrue Holiday,Tibia
2014-02-28,Rockets,,Greg Smith ,Knee
2014-02-28,Suns,,Leandro Barbosa,Big toe
2014-02-28,Suns,,Viacheslav Kravstov ,Ankle
2014-02-28,Warriors,,Nemanja Nedovic,Hamstring
2014-03-01,Bucks,,Ekpe Udoh,Knee
2014-03-01,Cavaliers,,C.J. Miles,Ankle
2014-03-01,Cavaliers,,Dion Waiters,Knee
2014-03-01,Celtics,,Gerald Wallace,Knee
2014-03-01,Celtics,,Kelly Olynyk,Toe
2014-03-01,Celtics,,Vitor Faverani,Knee
2014-03-01,Clippers,,Jamal Crawford,Calf
2014-03-01,Nets,,Kevin Garnett,Back
2014-03-01,Nuggets,,Nate Robinson,Knee
2014-03-01,Nuggets,,Ty Lawson,Rib
2014-03-01,Pacers,,George Hill,Shoulder
2014-03-01,Pelicans,,Jason Smith,Knee
2014-03-01,Rockets,,Chandler Parsons,Ankle
2014-03-01,Rockets,,Greg Smith ,Knee
2014-03-01,Wizards,,Kevin Seraphin,Knee
2014-03-02,Hawks,,Paul Millsap,Knee
2014-03-02,Magic,,Jameer Nelson,Calf
2014-03-02,Pacers,,George Hill,Shoulder
2014-03-02,Warriors,,Nemanja Nedovic,Hamstring
2014-03-03,Bobcats,,Gerald Henderson Jr.,Calf
2014-03-03,Bucks,,Ekpe Udoh,Knee
2014-03-03,Grizzlies,,James Johnson,Ankle
2014-03-03,Lakers,,Nick Young,Patella
2014-03-03,Nets,,Kevin Garnett,Back
2014-03-03,Pelicans,,Jason Smith,Knee
2014-03-03,Wizards,,Kevin Seraphin,Knee
2014-03-03,Wizards,,Martell Webster,Back
2014-03-04,Cavaliers,,C.J. Miles,Ankle
2014-03-04,Celtics,,Gerald Wallace,"Knee
Ankle"
2014-03-04,Clippers,,Jamal Crawford,Calf
2014-03-04,Lakers,,Nick Young,Patella
2014-03-04,Pelicans,,Jason Smith,Knee
2014-03-04,Suns,,Miles Plumlee,Knee
2014-03-05,Bobcats,,Gerald Henderson Jr.,Calf
2014-03-05,Bucks,,Ekpe Udoh,Knee
2014-03-05,Celtics,,Gerald Wallace,"Knee
Ankle"
2014-03-05,Celtics,,Vitor Faverani,Knee
2014-03-05,Grizzlies,,Zach Randolph,Ankle
2014-03-05,Hawks,,Paul Millsap,Knee
2014-03-05,Magic,,Victor Oladipo,Ankle
2014-03-05,Nets,,Kevin Garnett,Back
2014-03-05,Nuggets,,Nate Robinson,Knee
2014-03-05,Pacers,,C.J. Watson,Elbow
2014-03-05,Pistons,,Peyton Siva,Ankle
2014-03-05,Suns,,Leandro Barbosa,Hand
2014-03-05,Wizards,,Martell Webster,Back
2014-03-06,Clippers,,Jamal Crawford,Calf
2014-03-06,Clippers,,Jared Dudley,Back
2014-03-06,Lakers,,Jordan Hill,Knee
2014-03-06,Lakers,,Nick Young,Patella
2014-03-06,Suns,,Miles Plumlee,Knee
2014-03-07,Bobcats,,Gerald Henderson Jr.,Calf
2014-03-07,Bucks,,Ekpe Udoh,Knee
2014-03-07,Cavaliers,,C.J. Miles,Ankle
2014-03-07,Celtics,,Gerald Wallace,"Knee
Ankle"
2014-03-07,Celtics,,Vitor Faverani,Knee
2014-03-07,Lakers,,Jordan Hill,Knee
2014-03-07,Lakers,,Nick Young,Patella
2014-03-07,Nets,,Kevin Garnett,Ankle
2014-03-07,Nuggets,,Nate Robinson,Knee
2014-03-07,Pelicans,,Jason Smith,Knee
2014-03-07,Pistons,,Peyton Siva,Ankle
2014-03-08,76ers,,Lorenzo Brown,Foot
2014-03-08,Bobcats,,Gerald Henderson Jr.,Calf
2014-03-08,Bucks,,Ekpe Udoh,Knee
2014-03-08,Cavaliers,,C.J. Miles,Ankle
2014-03-08,Clippers,,Jared Dudley,Back
2014-03-09,Celtics,,Vitor Faverani,Knee
2014-03-09,Lakers,,Jordan Hill,Knee
2014-03-09,Nuggets,,Nate Robinson,Knee
2014-03-09,Pelicans,,Jason Smith,Knee
2014-03-09,Pistons,,Peyton Siva,Ankle
2014-03-09,Celtics,,Avery Bradley,Ankle
2014-03-10,76ers,,Lorenzo Brown,Foot
2014-03-10,Bobcats,,Gerald Henderson Jr.,Calf
2014-03-10,Bucks,,Ekpe Udoh,Knee
2014-03-10,Cavaliers,,Anthony Bennett,Knee
2014-03-10,Clippers,,Jamal Crawford,Calf
2014-03-10,Clippers,,Jared Dudley,Back
2014-03-10,Nets,,Kevin Garnett,Back
2014-03-10,Nuggets,,Nate Robinson,Knee
2014-03-11,Bucks,,Ersan Ilyasova,Ankle
2014-03-11,Celtics,,Avery Bradley,Ankle
2014-03-11,Celtics,,Vitor Faverani,Knee
2014-03-11,Pistons,,Peyton Siva,Ankle
2014-03-12,76ers,,Lorenzo Brown,Foot
2014-03-12,Blazers,,Mo Williams,Hip
2014-03-12,Cavaliers,,Anthony Bennett,Knee
2014-03-12,Cavaliers,,C.J. Miles,Ankle
2014-03-12,Celtics,,Avery Bradley,Ankle
2014-03-12,Celtics,,Vitor Faverani,Knee
2014-03-12,Clippers,,Jamal Crawford,Calf
2014-03-12,Nets,,Kevin Garnett,Back
2014-03-12,Nuggets,,Nate Robinson,Knee
2014-03-12,Pistons,,Peyton Siva,Ankle
2014-03-13,Blazers,,LaMarcus Aldridge,Lower back
2014-03-13,Lakers,,Jordan Hill,Knee
2014-03-13,Lakers,,Nick Young,Knee cap
2014-03-14,Blazers,,LaMarcus Aldridge,Lower back
2014-03-14,Blazers,,Mo Williams,Hip
2014-03-14,Cavaliers,,Anthony Bennett,Knee tendon
2014-03-14,Celtics,,Vitor Faverani,Knee
2014-03-14,Clippers,,Jamal Crawford,Calf
2014-03-14,Lakers,,Jordan Hill,Knee
2014-03-14,Lakers,,Nick Young,Patella
2014-03-14,Nuggets,,Nate Robinson,Knee
2014-03-14,Pelicans,,Jason Smith,Knee
2014-03-15,Nuggets,,Nate Robinson,Knee
2014-03-15,Pistons,,Peyton Siva,Ankle
2014-03-16,Bucks,,Ersan Ilyasova,Ankle
2014-03-16,Cavaliers,,Anthony Bennett,Knee
2014-03-16,Celtics,,Vitor Faverani,Knee
2014-03-16,Clippers,,Darren Collison,Stomach
2014-03-16,Clippers,,Jamal Crawford,Calf
2014-03-16,Kings,,DeMarcus Cousins,Knee
2014-03-16,Pelicans,,Jason Smith,Knee
2014-03-16,Thunder,,Russell Westbrook,Ankle
2014-03-16,Timberwolves,,Nikola Pekovic,Ankle
2014-03-17,76ers,,James Anderson,Quadriceps
2014-03-17,Bulls,,Tornike Shengelia,Ankle
2014-03-17,Cavaliers,,Kyrie Irving,Bicep
2014-03-17,Celtics,,Rajon Rondo,Knee
2014-03-17,Celtics,,Vitor Faverani,Knee
2014-03-17,Clippers,,Darren Collison,Stomach
2014-03-17,Clippers,,Jamal Crawford,Calf
2014-03-17,Nuggets,,Nate Robinson,Knee
2014-03-17,Rockets,,Dwight Howard,Ankle
2014-03-17,Rockets,,Omri Casspi,Ankle
2014-03-18,Cavaliers,,Luol Deng,Ankle
2014-03-19,76ers,,James Anderson,Quadriceps
2014-03-19,Bulls,,Tornike Shengelia,Ankle
2014-03-19,Celtics,,Vitor Faverani,Knee
2014-03-19,Lakers,,Jordan Farmar,Groin
2014-03-19,Lakers,,Jordan Hill,Knee
2014-03-19,Lakers,,Nick Young,Patella
2014-03-19,Magic,,Jameer Nelson,Knee
2014-03-19,Nuggets,,Nate Robinson,Knee
2014-03-19,Nuggets,,Ty Lawson,Sinus
2014-03-19,Nuggets,,Wilson Chandler,Hip
2014-03-19,Pelicans,,Anthony Davis,Respiratory
2014-03-19,Pelicans,,Jason Smith,Knee
2014-03-19,Pistons,,Andre Drummond,Neck
2014-03-19,Pistons,,Peyton Siva,Ankle
2014-03-19,Timberwolves,,Nikola Pekovic,Ankle
2014-03-20,Cavaliers,,C.J. Miles,Ankle
2014-03-20,Cavaliers,,Luol Deng,Ankle
2014-03-20,Cavaliers,,Sergey Karasev,Knee
2014-03-20,Kings,,Carl Landry,Knee
2014-03-20,Rockets,,Dwight Howard,Ankle
2014-03-20,Thunder,,Russell Westbrook,Knee
2014-03-20,Timberwolves,,Nikola Pekovic,Ankle
2014-03-20,Wizards,,Marcin Gortat,Back
2014-03-21,Bulls,,Tornike Shengelia,Ankle
2014-03-21,Celtics,,Vitor Faverani,Knee
2014-03-21,Hawks,,Kyle Korver,Back
2014-03-21,Kings,,Quincy Acy,Ankle
2014-03-21,Lakers,,Chris Kaman,Foot
2014-03-21,Lakers,,Wes Johnson,Respiratory
2014-03-21,Pistons,,Peyton Siva,Ankle
2014-03-22,76ers,,Tony Wroten Jr.,Ankle
2014-03-22,Bucks,,Nate Wolters,Hand
2014-03-22,Bulls,,Tornike Shengelia,Ankle
2014-03-22,Cavaliers,,Anthony Bennett,Knee tendon
2014-03-22,Cavaliers,,Luol Deng,Ankle
2014-03-22,Cavaliers,,Sergey Karasev,Knee
2014-03-22,Lakers,,Xavier Henry,Wrist
2014-03-22,Magic,,Jameer Nelson,Knee
2014-03-22,Mavericks,,Gal Mekel,Knee
2014-03-22,Nuggets,,J.J. Hickson,Knee
2014-03-22,Pelicans,,Eric Gordon,Knee
2014-03-22,Pelicans,,Jason Smith,Knee
2014-03-22,Pistons,,Peyton Siva,Ankle
2014-03-22,Rockets,,Dwight Howard,Ankle
2014-03-22,Spurs,,Matt Bonner,Calf
2014-03-23,Bucks,,Nate Wolters,Hand
2014-03-23,Cavaliers,,Anthony Bennett,Knee
2014-03-23,Cavaliers,,C.J. Miles,Ankle
2014-03-23,Cavaliers,,Sergey Karasev,Knee
2014-03-23,Hawks,,Kyle Korver,Back
2014-03-23,Kings,,Quincy Acy,Ankle
2014-03-23,Knicks,,Iman Shumpert,Ankle
2014-03-23,Lakers,,Chris Kaman,Right Foot
2014-03-23,Lakers,,Steve Nash,Root
2014-03-23,Lakers,,Xavier Henry,Wrist
2014-03-23,Magic,,Jameer Nelson,Knee
2014-03-23,Mavericks,,Gal Mekel,Knee
2014-03-23,Nuggets,,J.J. Hickson,Knee
2014-03-23,Nuggets,,Nate Robinson,Knee
2014-03-23,Nuggets,,Wilson Chandler,Hip
2014-03-23,Timberwolves,,Nikola Pekovic,Ankle
2014-03-24,76ers,,Tony Wroten Jr.,Ankle
2014-03-24,Bucks,,Ersan Ilyasova,Ankle
2014-03-24,Bucks,,Nate Wolters,Hand
2014-03-24,Grizzlies,,Tony Allen,Stomach
2014-03-24,Hawks,,Kyle Korver,Back
2014-03-24,Heat,,Dwyane Wade,Ankle
2014-03-24,Nets,,Andrei Kirilenko,Ankle
2014-03-24,Nuggets,,J.J. Hickson,Knee
2014-03-24,Nuggets,,Jan Vesely,Rib
2014-03-24,Nuggets,,Nate Robinson,Knee
2014-03-24,Nuggets,,Wilson Chandler,Groin
2014-03-24,Pelicans,,Eric Gordon,Knee
2014-03-24,Pelicans,,Jason Smith,Knee
2014-03-24,Pistons,,Charlie Villanueva,Back
2014-03-24,Spurs,, Tony Parker,Achilles
2014-03-24,Spurs,,Danny Green,Foot
2014-03-24,Thunder,,Russell Westbrook,Knee
2014-03-24,Timberwolves,,Jose Barea ,Foot
2014-03-24,Timberwolves,,Nikola Pekovic,Ankle
2014-03-25,Cavaliers,,Anthony Bennett,Knee tendons
2014-03-25,Cavaliers,,C.J. Miles,Ankle
2014-03-25,Cavaliers,,Sergey Karasev,Knee
2014-03-25,Lakers,,Pau Gasol,Head
2014-03-25,Lakers,,Steve Nash,Root
2014-03-25,Magic,,Jameer Nelson,Knee
2014-03-25,Mavericks,,Gal Mekel,Knee
2014-03-25,Nuggets,,J.J. Hickson,Knee
2014-03-26,Bobcats,,Gary Neal,Ankle
2014-03-26,Cavaliers,,Anthony Bennett,Knee
2014-03-26,Cavaliers,,C.J. Miles,Ankle
2014-03-26,Cavaliers,,Sergey Karasev,Knee
2014-03-26,Celtics,,Vitor Faverani,Knee
2014-03-26,Hawks,,Kyle Korver,Back
2014-03-26,Heat,,Ray Allen,Ankle
2014-03-26,Kings,,Isaiah Thomas,Quadriceps
2014-03-26,Nets,,Andrei Kirilenko,Ankle
2014-03-26,Nets,,Marcus Thornton ,Back
2014-03-26,Nuggets,,J.J. Hickson,Knee
2014-03-26,Nuggets,,Nate Robinson,Knee
2014-03-26,Nuggets,,Wilson Chandler,Groin
2014-03-26,Pelicans,,Austin Rivers,Ankle
2014-03-26,Pelicans,,Brian Roberts,Knee
2014-03-26,Pistons,,Charlie Villanueva,Back
2014-03-26,Timberwolves,,Nikola Pekovic,Ankle
2014-03-27,76ers,,Tony Wroten Jr.,Ankle
